2.013	2.013	1
7.804	7.804	2
12.604	12.604	
17.687	17.687	3
24.010	24.010	
29.110	29.110	
32.734	32.734	4
36.734	36.734	
44.863	44.863	
49.662	49.662	5
54.662	54.662	
59.259	59.259	
62.910	62.910	6
66.855	66.855	
68.210	68.210	
69.034	69.034	
74.458	74.458	7
79.760	79.760	
86.169	86.169	
86.864	86.864	
88.419	88.419	
90.686	90.686	
102.291	102.291	8
108.566	108.566	
111.430	111.430	
114.423	114.423	
118.377	118.377	9
120.642	120.642	
126.157	126.157	
132.602	132.602	10
138.882	138.882	
148.480	148.480	
