5.130	5.130	1
14.967	14.967	2
22.084	22.084	
29.874	29.874	3
37.084	37.084	
40.843	40.843	
45.769	45.769	
55.235	55.235	4
56.917	56.917	
62.535	62.535	
68.532	68.532	5
75.043	75.043	
83.310	83.310	
83.860	83.860	
91.406	91.406	6
94.222	94.222	
96.970	96.970	
103.744	103.744	
108.108	108.108	7
112.204	112.204	
118.617	118.617	
122.945	122.945	8
126.100	126.100	
131.395	131.395	
133.786	133.786	
135.838	135.838	
137.820	137.820	
141.043	141.043	9
142.707	142.707	
144.856	144.856	
155.071	155.071	10
158.939	158.939	
163.823	163.823	
165.613	165.613	
175.075	175.075	11
179.322	179.322	
181.041	181.041	
187.388	187.388	12
189.177	189.177	
193.296	193.296	
202.804	202.804	13
207.522	207.522	
214.017	214.017	14
218.046	218.046	
220.624	220.624	
233.317	233.317	
235.683	235.683	
241.558	241.558	15
247.128	247.128	
251.627	251.627	16
255.492	255.492	
259.342	259.342	17
265.859	265.859	
271.464	271.464	
