1.430	1.430	1
6.709	6.709	2
9.754	9.754	
12.009	12.009	
16.563	16.563	
20.066	20.066	
22.492	22.492	
24.947	24.947	
26.794	26.794	
31.794	31.794	
37.501	37.501	3
39.501	39.501	
47.006	47.006	4
50.006	50.006	
55.614	55.614	5
62.070	62.070	
68.035	68.035	
71.069	71.069	6
78.200	78.200	
85.598	85.598	
90.148	90.148	7
95.634	95.634	
99.803	99.803	8
106.529	106.529	
111.252	111.252	
120.305	120.305	9
123.922	123.922	
129.338	129.338	
130.839	130.839	
135.876	135.876	10
139.001	139.001	
143.112	143.112	
150.340	150.340	11
160.238	160.238	
163.314	163.314	
168.986	168.986	
