\id JON
\c 1
\level verse
\separators . ? ! : ; ,
3.88	9.2	1
9.2	19.68	2
19.68	35.38	3
35.38	43.38	4
43.38	57.68	5
57.68	68.78	6
68.78	78.02	7
78.02	90.96	8
90.96	100.2	9
100.2	113.7	10
113.7	122.12	11
122.12	132.94	12
132.94	139.06	13
139.06	157.62	14
157.62	163.4	15
163.4	168.88	16
168.88	177.92	17
